category,skintype,name,brand,price,rating,ingredients
2,15,Crème de la Mer,LA MER,175,4.1,"['algae seaweed', 'mineral', 'petrolatum', 'glycerin', 'isohexadecane', 'microcrystalline wax', 'lanolin alcohol', 'citrus aurantifolia lime', 'sesamum indicum sesame seed', 'eucalyptus globulus eucalyptus leaf', 'sesamum indicum sesame seed powder', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'magnesium sulfate', 'paraffin', 'tocopheryl succinate', 'niacin', 'water', 'beta carotene', 'decyl oleate', 'aluminum distearate', 'octyldodecanol', 'citric acid', 'cyanocobalamin', 'magnesium stearate', 'panthenol', 'limonene', 'geraniol', 'linalool', 'hydroxycitronellal', 'citronellol', 'benzyl salicylate', 'citral', 'sodium benzoate', 'alcohol denat', 'parfume']"
8,15,Facial Treatment Essence,SK-II,179,4.1,"['galactomyces ferment filtrate pitera', 'butylene glycol', 'pentylene glycol', 'water', 'sodium benzoate', 'methylparaben', 'sorbic acid']"
2,7,Protini™ Polypeptide Cream,DRUNK ELEPHANT,68,4.4,"['water', 'dicaprylyl carbonate', 'glycerin', 'cetyl stearyl alcohol', 'cetearyl olivate', 'sorbitan olivate', 'sclerocarya birrea seed', 'bacillus soybean folic acid ferment', 'nymphaea alba root', 'sholigopeptide 1', 'sholigopeptide 2', 'shpolypeptide 1', 'shpolypeptide 9', 'shpolypeptide 11', 'copper palmitoyl heptapeptide 14', 'heptapeptide 15 palmitate', 'palmitoyl tetrapeptide 7', 'palmitoyl tripeptide 1', 'alanine', 'arginine', 'glycine', 'histidine', 'isoleucine', 'phenylalanine', 'proline', 'serine', 'threonine', 'valine', 'acetyl glutamine', 'coconut alkanes', 'coco caprylate caprate', 'sodium hyaluronate', 'aspartic acid', 'linoleic acid', 'linolenic acid', 'lecithin', 'butylene glycol', 'polyvinyl alcohol', 'sodium lactate', 'sodium pca', 'pca', 'sorbitan isostearate', 'carbomer', 'polysorbate 20', 'polysorbate 60', 'lactic acid glycolic acid copolymer', 'hydroxyethyl acrylate sodium acryloyldimethyl taurate copolymer', 'xanthan gum', 'isomalt', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'tocopherol', 'sodium benzoate', 'phenylpropanol', 'glyceryl caprylate', 'symphytum officinale callus culture']"
2,15,The Moisturizing Soft Cream,LA MER,175,3.8,"['algae seaweed', 'cyclopentasiloxane', 'petrolatum', 'glyceryl distearate', 'phenyl trimethicone', 'butylene glycol', 'hydrogenated vegetable', 'cholesterol', 'butyrospermum parkii shea butter', 'steareth 10', 'dimethicone', 'glyceryl stearate se', 'polysilicone 11', 'sesamum indicum sesame seed', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'eucalyptus globulus eucalyptus leaf', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'tocopheryl succinate', 'niacin', 'sesamum indicum sesame seed powder', 'water', 'citrus aurantifolia lime peel', 'laminaria digitata', 'crithmum maritimum', 'salicornia herbacea', 'plankton', 'chlorella vulgaris', 'glycine soja soybean seed', 'glycerin', 'caffeine', 'sea salt maris sal sel marin', 'micrococcus lysate', 'diethylhexyl succinate', 'adenosine phosphate', 'creatine', 'hydrolyzed algin', 'isocetyl stearoyl stearate', 'cetyl alcohol', 'sucrose', 'acetyl hexapeptide 8', 'glucose oxidase', 'polyacrylamide', 'acetyl carnitine hcl', 'glucose', 'caprylic capric triglyceride', 'c13 14 isoparaffin', 'tocopheryl acetate', 'tetrahexyldecyl ascorbate', 'sodium pca', 'glycosaminoglycans', 'urea', 'distearyldimonium chloride', 'dipalmitoyl hydroxyproline', 'sodium hyaluronate', 'laureth 7', 'lecithin', 'trehalose', 'polyquaternium 51', 'lactoperoxidase', 'hydroxypropyl cyclodextrin', 'cyanocobalamin', 'pentylene glycol', 'parfume', 'disodium edta', 'bht', 'citronellol', 'hydroxycitronellal', 'geraniol', 'linalool', 'limonene', 'potassium sorbate', 'phenoxyethanol']"
2,14,The Water Cream,TATCHA,68,4.2,"['water', 'saccharomyces camellia sinensis leaf cladosiphon okamuranus rice ferment filtrate', 'dimethicone', 'propanediol', 'glycerin', 'diglycerin', 'diphenylsiloxy phenyl trimethicone', 'gold', 'belamcanda chinensis root', 'rosa multiflora fruit', 'houttuynia cordata', 'sophora angustifolia root', 'sodium hyaluronate', 'lecithin', 'pistacia lentiscus mastic gum', 'sodium chloride', 'sodium citrate', 'mica', 'peg9 polydimethylsiloxyethyl dimethicone', 'dimethicone peg10 15 crosspolymer', 'dimethicone phenyl vinyl dimethicone crosspolymer', 'disodium edta', 'tin oxide', 'titanium dioxide', 'butylene glycol', 'ethylhexylglycerin', 'parfum parfume', 'alcohol', 'phenoxyethanol hadasei 3']"
2,7,Lala Retro™ Whipped Cream,DRUNK ELEPHANT,60,4.2,"['water', 'glycerin', 'caprylic capric triglyceride', 'isopropyl isostearate', 'pseudozyma epicola camellia sinensis seed glucose glycine soja meal malt yeast ferment filtrate pseudozyma epicola camellia sinensis seed glucose yeast ferment filtrate', 'stearic acid', 'glyceryl stearate se', 'cetyl stearyl alcohol', 'pentylene glycol', 'plantago lanceolata leaf', 'adansonia digitata seed', 'citrullus lanatus watermelon seed', 'passiflora edulis seed', 'schinziophyton rautanenii kernel', 'sclerocarya birrea seed', 'polyglyceryl 6 ximenia americana seedate', 'sodium hyaluronate crosspolymer', 'ceteareth20', 'trisodium ethylenediamine disuccinate', 'sodium hydroxide', 'citric acid', 'carbomer', 'xanthan gum', 'caprylyl glycol', 'chlorphenesin', 'phenoxyethanol', 'ethylhexylglycerin']"
2,7,Virgin Marula Luxury Facial Oil,DRUNK ELEPHANT,72,4.4,[]
2,15,Ultra Facial Cream,KIEHL'S SINCE 1851,29,4.4,"['water', 'glycerin', 'cyclohexasiloxane', 'squalane', 'bis peg18 methyl ether dimethyl silane', 'sucrose stearate', 'stearyl alcohol', 'peg8 stearate', 'urea', 'myristyl myristate', 'pentaerythrityl tetraethylhexanoate', 'prunus armeniaca kernel', 'phenoxyethanol', 'persea gratissima', 'olea europaea', 'oryza sativa bran', 'cetyl alcohol', 'glyceryl stearate', 'imperata cylindrica root', 'stearic acid', 'methylparaben', 'chlorphenesin', 'palmitic acid', 'disodium edta', 'acrylates c10 30 alkyl acrylate crosspolymer', 'propylparaben', 'carbomer', 'triethanolamine', 'prunus amygdalus dulcis', 'xanthan gum', 'sodium hydroxide', 'tocopherol', 'pseudoalteromonas ferment', 'hydroxypalmitoyl sphinganine', 'caprylyl glycol']"
2,0,Little Miss Miracle Limited-Edition Crème de la Mer,LA MER,325,5.0,"['algae seaweed', 'mineral', 'petrolatum', 'glycerin', 'isohexadecane', 'microcrystalline wax', 'lanolin alcohol', 'citrus aurantifolia lime', 'sesamum indicum sesame seed', 'eucalyptus globulus eucalyptus leaf', 'sesamum indicum sesame seed powder', 'medicago sativa alfalfa seed powder', 'helianthus annuus sunflower seedcake', 'prunus amygdalus dulcis sweet almond seed meal', 'sodium gluconate', 'copper gluconate', 'calcium gluconate', 'magnesium gluconate', 'zinc gluconate', 'magnesium sulfate', 'paraffin', 'tocopheryl succinate', 'niacin', 'water', 'beta carotene', 'decyl oleate', 'aluminum distearate', 'octyldodecanol', 'citric acid', 'cyanocobalamin', 'magnesium stearate', 'panthenol', 'limonene', 'geraniol', 'linalool', 'hydroxycitronellal', 'citronellol', 'benzyl salicylate', 'citral', 'sodium benzoate', 'alcohol denat', 'parfume']"
2,0,Lotus Youth Preserve Moisturizer,FRESH,45,4.3,"['water', 'glycerin', 'propylene glycol dicaprylate dicaprate', 'pentylene glycol', 'cetyl stearyl alcohol', 'caprylic capric triglyceride', 'cetearyl isononanoate', 'betaine', 'polymethyl methacrylate', 'steareth 21', 'ficus carica fig fruit', 'lepidium meyenii root', 'citrus limon lemon peel', 'cucumis sativus cucumber fruit', 'algae', 'nelumbo nucifera flower', 'hibiscus esculentus fruit', 'sodium hyaluronate', 'tocopheryl acetate', 'ascorbyl tetraisopalmitate', 'tocopherol', 'behenyl alcohol', 'cetearyl glucoside', 'sorbitol', 'dimethicone', 'sodium pca', 'caprylyl glycol', 'carbomer', 'tromethamine', 'cetyl alcohol', 'stearyl alcohol', 'butylene glycol', 'xanthan gum', 'caramel', 'citric acid', 'potassium sorbate', 'sorbic acid', 'phenoxyethanol', 'limonene', 'citral']"
